"","YEAR","MM","DD","CLRSKY_KT","sd"
"1",2001,1,1,0.78,0.0430116263352131
"2",2001,1,2,0.792,0.0370135110466435
"3",2001,1,3,0.794,0.0502991053598372
"4",2001,1,4,0.786,0.0517687164221791
"5",2001,1,5,0.762,0.0917605579756357
"6",2001,1,6,0.792,0.0460434577328853
"7",2001,1,7,0.778,0.0609918027279076
"8",2001,1,8,0.802,0.0408656334834051
"9",2001,1,9,0.8,0.0547722557505166
"10",2001,1,10,0.794,0.0502991053598372
"11",2001,1,11,0.782,0.0571839138219832
"12",2001,1,12,0.8,0.051478150704935
"13",2001,1,13,0.786,0.0676756972627545
"14",2001,1,14,0.782,0.0715541752799932
"15",2001,1,15,0.778,0.0788669766125214
"16",2001,1,16,0.796,0.0568330889535313
"17",2001,1,17,0.788,0.0558569601750758
"18",2001,1,18,0.776,0.0594138031100518
"19",2001,1,19,0.786,0.037815340802378
"20",2001,1,20,0.782,0.0420713679359253
"21",2001,1,21,0.784,0.0602494813255683
"22",2001,1,22,0.768,0.0769415362466854
"23",2001,1,23,0.768,0.0576194411635517
"24",2001,1,24,0.782,0.0637965516309463
"25",2001,1,25,0.778,0.0661059755241536
"26",2001,1,26,0.774,0.0687749954561976
"27",2001,1,27,0.788,0.0683373982530796
"28",2001,1,28,0.77,0.0845576726264388
"29",2001,1,29,0.754,0.0861974477580398
"30",2001,1,30,0.752,0.0626099033699941
"31",2001,1,31,0.758,0.0535723809439155
"32",2001,2,1,0.772,0.0788669766125214
"33",2001,2,2,0.75,0.109087121146357
"34",2001,2,3,0.774,0.0804984471899924
"35",2001,2,4,0.768,0.0661059755241537
"36",2001,2,5,0.764,0.0978774744259373
"37",2001,2,6,0.8,0.0469041575982343
"38",2001,2,7,0.788,0.0683373982530796
"39",2001,2,8,0.778,0.0791833315793166
"40",2001,2,9,0.774,0.109224539367305
"41",2001,2,10,0.766,0.0915423399307665
"42",2001,2,11,0.774,0.0789303490426845
"43",2001,2,12,0.794,0.0554977477020464
"44",2001,2,13,0.8,0.0724568837309472
"45",2001,2,14,0.79,0.0616441400296898
"46",2001,2,15,0.778,0.0676017751246222
"47",2001,2,16,0.752,0.0861394218694321
"48",2001,2,17,0.802,0.0356370593624109
"49",2001,2,18,0.77,0.0744983221287567
"50",2001,2,19,0.772,0.0719027120489902
"51",2001,2,20,0.786,0.0507937003968012
"52",2001,2,21,0.796,0.0450555213042752
"53",2001,2,22,0.778,0.0597494769851586
"54",2001,2,23,0.796,0.046690470119715
"55",2001,2,24,0.766,0.0654217089351845
"56",2001,2,25,0.73,0.092736184954957
"57",2001,2,26,0.756,0.0890505474435727
"58",2001,2,27,0.78,0.0833666600026653
"59",2001,2,28,0.79,0.0504975246918104
"60",2001,3,1,0.794,0.0581377674149945
"61",2001,3,2,0.8,0.0651920240520265
"62",2001,3,3,0.806,0.0691375440697744
"63",2001,3,4,0.78,0.0774596669241483
"64",2001,3,5,0.818,0.0408656334834051
